,ID карточки,ID товара:,ISBN,Автор,Возраст,Год издания,Голоса,Издательство,Кол-во страниц,Название,Переводчик,Редактор,Рейтинг,Серия,Тип обложки,Тираж,Формат,Художник,Цена,Обложка
0,244296,1400705,9785367009781,Фрай М.,,2009,0,"Амфора, ООО",478,"Книга для таких, как я",,,0,ФРАМ,Твердая бумажная,4000,20.5 x 13.2 x 3,,Не указана,https://img-gorod.ru/upload/iblock/73b/73b08455a4f69b75dfbb13a845805e7a.jpg
1,245728,1665067,9785942783372,Фрай М.,,2010,0,"Амфора, ООО",606,Волонтеры вечности,,,0,,Твердая бумажная,3000,20.7 x 13.8 x 3.8,,Не указана,https://img-gorod.ru/upload/iblock/bd5/bd5917eb853c0f7e2e65ecc4a4903b48.jpg
2,246246,1801350,5942783535,Фрай М.,,2003,0,"Амфора, ООО",350,Простые волшебные вещи,,,0,Лабиринты Эхо,Твердая бумажная,,20.8 x 13.7 x 2.3,,Не указана,https://img-gorod.ru/upload/iblock/82d/82d0b115760d675b877c6ff2ed848c60.jpg
3,246247,1801351,9785367016239,Фрай М.,,2009,0,"Амфора, ООО",367,Темная сторона,,,0,Лабиринты Ехо,Твердая бумажная,3000,20.6 x 13.5 x 2.3,,Не указана,https://img-gorod.ru/upload/iblock/a10/a1063f05018fe95318fb0092f886d21c.jpg
4,246533,1804075,9785942783600,Фрай М.,12+,2013,1,"Амфора, ООО",639,Чужак,,,5,Лабиринты Ехо,Твердая бумажная,3000,20.7 x 13.6 x 4.1,,Не указана,https://img-gorod.ru/upload/iblock/2ae/2ae746bfc6802ec8b0e3dad3116cfa8b.jpg
5,246749,1806167,9785942783877,Фрай М.,12+,2013,0,"Амфора, ООО",590,Болтливый мертвец,,Стукалина Марина,0,Лабиринты Эхо,Твердая бумажная,2000,20.7 x 13.8 x 3.9,,367,https://img-gorod.ru/upload/iblock/e40/e406f848c3c805ca9055e8fc12ba1901.jpg
6,246913,1807965,9785367003390,Фрай М.,,2003,0,"Амфора, ООО",350,Власть несбывшегося,,,0,,Твердая бумажная,,20.6 x 13.6 x 2.3,,322,https://img-gorod.ru/upload/iblock/052/052c1437b0ea95a64f0657d270be24ed.jpg
7,246914,1807966,9785942783884,Фрай М.,12+,2009,0,"Амфора, ООО",383,Наваждения,,,0,Лабиринты Ехо,Твердая бумажная,5000,20.6 x 13.7 x 2.5,,427,https://img-gorod.ru/upload/iblock/6c2/6c220c8a61d7d3081889da1f9721a2a6.jpg
8,247198,1810879,9785367004069,Фрай М.,,2003,0,"Амфора, ООО",557,Гнезда Химер Хроники Овётганны,,,0,,Твердая бумажная,,20.7 x 13.8 x 3.4,,Не указана,https://img-gorod.ru/upload/iblock/792/7923d42edfd12a925c1953e313723e24.jpg
9,247199,1810880,9785942782429,Фрай М.,,2006,0,"Амфора, ООО",559,Гнезда Химер Хроники Хугайды,,,0,Лабиринты Ехо,Твердая бумажная,5000,20.6 x 13.7 x 3.5,,Не указана,https://img-gorod.ru/upload/iblock/de5/de5a4324fcca1cb5bb9d71807da71bdb.jpg
10,247200,1810881,9785367003406,Фрай М.,,2009,0,"Амфора, ООО",398,Лабиринт Менина,,,0,Лабиринты Ехо,Твердая бумажная,3000,20.6 x 13.5 x 2.5,,Не указана,https://img-gorod.ru/upload/iblock/8d6/8d68752e8de9b19941a43d3108d2817e.jpg
11,247406,1813266,9785942784362,Фрай М.,,2003,0,"Амфора, ООО",423/415,Мой Рагнарек,,,0,,Твердая бумажная,,20.7 x 13.5 x 2.5,,427,https://img-gorod.ru/upload/iblock/4c7/4c7825ebbd5eb0ace74654855e1bb0f5.jpg
12,248903,1890629,9785367011777,Фрай М.,,2009,0,"Амфора, ООО",446,Жалобная книга Фрай,,Жаворонок Светлана,0,,Твердая бумажная,,20.6 x 13.5 x 2.8,,Не указана,https://img-gorod.ru/upload/iblock/c73/c731118710203a24147dac9e2941e123.jpg
13,253620,2289106,9785981245497,Фрай М.,,2011,0,Добрая книга,160,Искусство цифровой пейзажной фотографии ,,,0,,Мягкая бумажная,,21 x 23.5 x 1.5,,958,https://img-gorod.ru/upload/iblock/d50/d50c513c299f166d90ccbc19b911a55a.jpg
14,256186,2293081,9785367020984,Фрай М.,,2011,1,"Амфора, ООО",606,Волонтеры вечности,,Стукалина Марина,5,лабиринты ехо,Твердая глянцевая,,20.5 x 13.5 x 4,,367,https://img-gorod.ru/upload/iblock/18f/18fc7ca38058bb8989ba9c75d5ea790b.jpg
15,259037,2297888,9785367021240,Фрай М.,,2011,1,"Амфора, ООО",350,Простые волшебные вещи,,Стукалина Марина,5,Лабиринты Ехо,Твердая глянцевая,,20.5 x 17.4 x 2.5,,362,https://img-gorod.ru/upload/iblock/171/171b1333bdf41f379ffa3ac2a1862232.jpg
16,259751,2298896,9785367020908,Фрай М.,,2012,0,"Амфора, ООО",415,Дар Шаванахолы История рассказанная сэром Максом из Ехо,,Суворова Елена,0,Хроники Ехо,Твердая бумажная,,20.6 x 13.5 x 2.6,,392,https://img-gorod.ru/upload/iblock/937/9375464f055f3e10258ff651de48d199.jpg
17,259790,2298982,9785367021271,Фрай М.,,2012,1,"Амфора, ООО",383,Темная сторона,,Стукалина Марина,5,Лабиринты Ехо,Твердая глянцевая,,21 x 13.5 x 2.6,,427,https://img-gorod.ru/upload/iblock/e1d/e1df5d57cda124ffc127c86f520518d2.jpg
18,266507,2309102,9785367021738,Фрай М.,,2012,0,"Амфора, ООО",308,Первая линия ,,Суворова Елена,0,,Твердая бумажная,,20.5 x 13 x 1.8,,Не указана,https://img-gorod.ru/upload/iblock/609/6098fcf4ac35b78196d20a2ee123488b.jpg
19,266508,2309103,9785367021752,Фрай М.,,2012,0,"Амфора, ООО",351,Вторая линия ,,Суворова Елена,0,,Твердая бумажная,,20.5 x 13 x 2,,Не указана,https://img-gorod.ru/upload/iblock/2dc/2dc5b3a5c27739537a0ade9c64253adc.jpg
20,268263,2311993,9785367022209,Фрай М.,,2012,1,"Амфора, ООО",384,Сказки старого Вильнюса. Том 1,,Суворова Елена,5,,Твердая бумажная,11052,22 x 14 x 2.5,,Не указана,https://img-gorod.ru/upload/iblock/a3d/a3d7e0f499fea5003586b444009ef44f.jpg
21,270861,2024932,9785367008876,Фрай М.,,2009,0,"Амфора, ООО",382,Сказки и истории,,,0,ФРАМ,Твердая бумажная,,20.5 x 13.3 x 2.2,,Не указана,https://img-gorod.ru/upload/iblock/0e7/0e790a991d79b4e9a3f2ca98cb18e56c.jpg
22,271107,2026259,9785367013283,Фрай М.,12+,2014,1,"Амфора, ООО",414,Энциклопедия мифов т.1,,,5,ФРАМ,Твердая бумажная,,20.5 x 13 x 2.5,,499,https://img-gorod.ru/upload/iblock/3d8/3d87ab8cf3e9dbebf4602381d8f9ad74.jpg
23,271108,2026260,9785942785901,Фрай М.,12+,2014,1,"Амфора, ООО",336,Энциклопедия мифов т.2,,,5,ФРАМ,Твердая бумажная,3000,20.7 x 13.5 x 2.4,,475,https://img-gorod.ru/upload/iblock/ad1/ad14da1538e2668fadd2a527db0cdfd1.jpg
24,272859,2036407,9785942786953,Фрай М.,,2012,0,"Амфора, ООО",383,Хроники Ехо Чуб Земли,,,0,Хроники Ехо,Твердая бумажная,3000,20.7 x 13.6 x 2.3,,362,https://img-gorod.ru/upload/iblock/714/714a205dc7f06de23061ee29059ef796.jpg
25,274724,2044859,9785367004960,Фрай М.,,2005,0,"Амфора, ООО",350,Простые волшебные вещи,,,0,Лабиринты Ехо,Твердая бумажная,,20.7 x 13.4 x 2.3,,Не указана,https://img-gorod.ru/upload/iblock/5ed/5ed74e70d24ef23852580c247c1b7f42.jpg
